Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
KFS,"Kingsway Financial Services, Inc.",4.25,92065076.75,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/kfs
KGC,Kinross Gold Corporation,1.87,2143994590,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kgc
KEX,Kirby Corporation,46.84,2529781560,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex
KRG,Kite Realty Group Trust,25.08,2089755236,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krg
KKR,KKR & Co. L.P.,14.16,16906787895,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr
KFH,KKR Financial Holdings LLC,26.76,0,n/a,2011,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kfh
KFI,KKR Financial Holdings LLC,26.05,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/kfi
KFN,KKR Financial Holdings LLC,26.74,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kfn
KIO,KKR Income Opportunities Fund,13.72,209301837.9,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/kio
KMG,"KMG Chemicals, Inc.",21.65,253642436.9,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kmg
KNX,"Knight Transportation, Inc.",22,1780257314,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/knx
KNL,"Knoll, Inc.",17.49,853972214.4,n/a,2004,Consumer Durables,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/knl
KNOP,KNOT Offshore Partners LP,13.88,191648100,n/a,2013,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/knop
KN,Knowles Corporation,12.67,1120523777,n/a,2014,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/kn
KSS,Kohl&#39;s Corporation,47.88,9088593139,n/a,1992,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/kss
PHG,Koninklijke Philips N.V.,24.04,22145191240,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/phg
KOP,Koppers Holdings Inc.,16.49,338923653.2,n/a,2006,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/kop
KEP,Korea Electric Power Corporation,20.66,26525955662,n/a,1994,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/kep
KEF,"Korea Equity Fund, Inc.",6.83,66528455.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kef
KF,"Korea Fund, Inc. (The)",29.91,236038443.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kf
KFY,Korn/Ferry International,30.38,1558164742,n/a,1999,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/kfy
KOS,Kosmos Energy Ltd.,4.38,1686543348,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/kos
KRA,"Kraton Performance Polymers, Inc",15.31,467316285.4,n/a,2009,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/kra
